id_data,lokasi_awal_user,durasi_perjalanan,jumlah_hari,jumlah_orang,budget,segmen_budget,jenis_transportasi,preferensi_penginapan,preferensi_kategori,preferensi_aktivitas,nama_wisata,kategori_wisata,kota_tujuan,latitude,longitude,koordinat_destinasi,alamat,deskripsi_wisata,kecocokan_kategori,kecocokan_aktivitas,kecocokan_budget,kecocokan_jarak,estimasi_jarak_km,estimasi_waktu_menit,estimasi_biaya_transportasi,estimasi_biaya_penginapan,estimasi_biaya_makan,estimasi_biaya_tiket,total_estimasi_biaya,status_budget,label_rekomendasi
BDG-TRV-0129,Tasikmalaya,2 hari 1 malam,2,2,2105000,hemat,transportasi umum,standar,edukasi,keluarga,Kebun Binatang Bandung,kebun binatang,Kota Bandung,-6.8902,107.607,"-6.8902,107.607","Jl. Tamansari No.71, Lebak Siliwangi, Coblong, Kota Bandung",Kebun Binatang Bandung adalah wisata edukasi keluarga yang menampilkan berbagai satwa dan area rekreasi di kawasan Tamansari.,1,1,1,1,147.75,307,532000,320000,280000,100000,1232000,sesuai,1
BDG-TRV-0130,Cimahi,2 hari 1 malam,2,5,1346000,standar,motor,nyaman,wisata tematik,budaya,Floating Market Lembang,wisata kuliner,Kabupaten Bandung Barat,-6.8167,107.6187,"-6.8167,107.6187","Jl. Grand Hotel No.33E, Lembang, Kabupaten Bandung Barat","Floating Market Lembang menawarkan pengalaman kuliner, wahana keluarga, taman, dan suasana danau di kawasan Lembang.",0,0,0,1,50.01,107,140000,520000,700000,75000,1435000,melebihi budget,0
BDG-TRV-0131,Jakarta,3 hari 2 malam,3,1,422000,hemat,motor,standar,alam,foto-foto,The Lodge Maribaya,wisata alam,Kabupaten Bandung Barat,-6.8294,107.6875,"-6.8294,107.6875","Cibodas, Lembang, Kabupaten Bandung Barat","The Lodge Maribaya adalah destinasi alam dengan wahana foto, pemandangan hutan pinus, dan aktivitas rekreasi keluarga.",1,1,0,0,286.85,581,803000,640000,210000,30000,1683000,melebihi budget,0
BDG-TRV-0132,Kabupaten Bandung,4 hari 3 malam,4,2,362000,hemat,motor,hemat,wisata edukasi,edukasi,Jendela Alam,wisata edukasi,Kabupaten Bandung Barat,-6.8287,107.5976,"-6.8287,107.5976","Komplek Graha Puspa, Lembang, Kabupaten Bandung Barat","Jendela Alam adalah wisata edukasi keluarga yang mengenalkan aktivitas pertanian, peternakan, dan lingkungan alam.",1,1,0,1,213.22,346,597000,540000,560000,50000,1747000,melebihi budget,0
BDG-TRV-0133,Kota Bandung,2 hari 1 malam,2,5,848000,hemat,motor,standar,mall,sejarah,Museum Geologi Bandung,museum,Kota Bandung,-6.9007,107.6215,"-6.9007,107.6215","Jl. Diponegoro No.57, Cihaur Geulis, Cibeunying Kaler, Kota Bandung","Museum Geologi Bandung adalah destinasi edukasi yang menampilkan koleksi batuan, mineral, fosil, dan informasi sejarah bumi.",0,1,0,1,23.03,44,64000,320000,700000,75000,1159000,melebihi budget,0
BDG-TRV-0134,Cimahi,3 hari 2 malam,3,3,3368000,premium,motor,nyaman,alam,foto-foto,Tangkuban Perahu,gunung,Kabupaten Bandung Barat,-6.7596,107.6098,"-6.7596,107.6098","Cikahuripan, Lembang, Kabupaten Bandung Barat",Tangkuban Perahu adalah kawasan wisata gunung berapi dengan kawah alam yang populer untuk wisata alam dan edukasi geologi.,1,1,1,1,25.46,50,71000,1040000,630000,105000,1846000,sesuai,1
BDG-TRV-0135,Tasikmalaya,4 hari 3 malam,4,4,4179000,premium,transportasi umum,nyaman,edukasi,keluarga,Saung Angklung Udjo,wisata edukasi,Kota Bandung,-6.8992,107.6542,"-6.8992,107.6542","Jl. Padasuka No.118, Pasirlayung, Cibeunying Kidul, Kota Bandung","Saung Angklung Udjo adalah destinasi budaya dan edukasi yang menampilkan pertunjukan angklung, seni Sunda, dan aktivitas keluarga.",1,1,1,1,139.22,292,501000,1560000,1120000,100000,3281000,sesuai,1
BDG-TRV-0136,Bogor,1 hari,1,1,2936000,premium,motor,tanpa penginapan,wisata kota,kuliner,Ranca Upas,wisata alam,Kabupaten Bandung,-7.1421,107.3957,"-7.1421,107.3957","Jl. Raya Ciwidey-Patengan, Rancabali, Kabupaten Bandung",Ranca Upas adalah kawasan wisata alam dan bumi perkemahan yang dikenal dengan penangkaran rusa dan udara sejuk pegunungan.,0,0,1,0,221.66,420,621000,0,70000,30000,721000,sesuai,0
BDG-TRV-0137,Jakarta,2 hari 1 malam,2,1,1115000,hemat,motor,hemat,belanja,kuliner,Cihampelas Walk,mall,Kota Bandung,-6.894,107.6042,"-6.894,107.6042","Jl. Cihampelas No.160, Cipaganti, Coblong, Kota Bandung",Cihampelas Walk adalah pusat belanja dan kuliner dengan konsep ruang terbuka yang cocok untuk jalan santai dan hiburan keluarga.,1,1,1,1,196.39,446,550000,180000,140000,10000,880000,sesuai,1
BDG-TRV-0138,Cimahi,1 hari,1,5,1577000,standar,motor,tanpa penginapan,wisata alam,religi,Orchid Forest Cikole,wisata alam,Kabupaten Bandung Barat,-6.7806,107.6373,"-6.7806,107.6373","Cikole, Lembang, Kabupaten Bandung Barat","Orchid Forest Cikole adalah wisata alam hutan pinus dengan koleksi anggrek, spot foto, dan suasana sejuk di Lembang.",1,0,1,1,54.81,102,153000,0,350000,150000,653000,sesuai,0
BDG-TRV-0139,Cimahi,2 hari 1 malam,2,3,1503000,standar,transportasi umum,standar,alam,foto-foto,The Lodge Maribaya,wisata alam,Kabupaten Bandung Barat,-6.8294,107.6875,"-6.8294,107.6875","Cibodas, Lembang, Kabupaten Bandung Barat","The Lodge Maribaya adalah destinasi alam dengan wahana foto, pemandangan hutan pinus, dan aktivitas rekreasi keluarga.",1,1,0,1,214.59,391,773000,320000,420000,90000,1603000,melebihi budget,0
BDG-TRV-0140,Depok,3 hari 2 malam,3,2,1458000,standar,motor,standar,alam,healing,Curug Cimahi,wisata alam,Kabupaten Bandung Barat,-6.7986,107.5775,"-6.7986,107.5775","Kertawangi, Cisarua, Kabupaten Bandung Barat",Curug Cimahi adalah wisata air terjun di Bandung Barat dengan jalur trekking ringan dan suasana alam yang sejuk.,1,1,0,1,221.31,476,620000,640000,420000,60000,1740000,melebihi budget,0
BDG-TRV-0141,Bekasi,3 hari 2 malam,3,2,4599000,premium,mobil,standar,wisata alam,keluarga,Situ Patenggang,wisata alam,Kabupaten Bandung,-7.166,107.3589,"-7.166,107.3589","Patengan, Rancabali, Kabupaten Bandung","Situ Patenggang adalah danau wisata di kawasan Ciwidey yang cocok untuk menikmati alam, berfoto, dan rekreasi keluarga.",1,1,1,1,216.35,405,1298000,640000,420000,60000,2418000,sesuai,1
BDG-TRV-0142,Bogor,3 hari 2 malam,3,4,1672000,standar,transportasi umum,nyaman,kebun binatang,belanja,Bandung Indah Plaza,mall,Kota Bandung,-6.9089,107.6105,"-6.9089,107.6105","Jl. Merdeka No.56, Citarum, Bandung Wetan, Kota Bandung","Bandung Indah Plaza adalah pusat perbelanjaan di pusat Kota Bandung dengan pilihan fashion, kuliner, hiburan, dan kebutuhan gaya hidup.",0,1,0,1,165.51,375,596000,1040000,840000,40000,2516000,melebihi budget,0
BDG-TRV-0143,Bogor,1 hari,1,2,866000,hemat,motor,tanpa penginapan,kuliner,kuliner,Floating Market Lembang,wisata kuliner,Kabupaten Bandung Barat,-6.8167,107.6187,"-6.8167,107.6187","Jl. Grand Hotel No.33E, Lembang, Kabupaten Bandung Barat","Floating Market Lembang menawarkan pengalaman kuliner, wahana keluarga, taman, dan suasana danau di kawasan Lembang.",1,1,1,1,202.67,333,567000,0,140000,30000,737000,sesuai,1
BDG-TRV-0144,Jakarta,3 hari 2 malam,3,4,3646000,premium,transportasi umum,nyaman,alam,alam,Ranca Upas,wisata alam,Kabupaten Bandung,-7.1421,107.3957,"-7.1421,107.3957","Jl. Raya Ciwidey-Patengan, Rancabali, Kabupaten Bandung",Ranca Upas adalah kawasan wisata alam dan bumi perkemahan yang dikenal dengan penangkaran rusa dan udara sejuk pegunungan.,1,1,1,1,187.68,421,676000,1040000,840000,120000,2676000,sesuai,1
BDG-TRV-0145,Kota Bandung,1 hari,1,1,100000,standar,motor,tanpa penginapan,kebun binatang,edukasi,Kebun Binatang Bandung,kebun binatang,Kota Bandung,-6.8902,107.607,"-6.8902,107.607","Jl. Tamansari No.71, Lebak Siliwangi, Coblong, Kota Bandung",Kebun Binatang Bandung adalah wisata edukasi keluarga yang menampilkan berbagai satwa dan area rekreasi di kawasan Tamansari.,1,1,0,1,8.61,13,24000,0,70000,50000,144000,melebihi budget,0
BDG-TRV-0146,Garut,1 hari,1,5,563000,hemat,motor,tanpa penginapan,kebun binatang,belanja,Bandung Indah Plaza,mall,Kota Bandung,-6.9089,107.6105,"-6.9089,107.6105","Jl. Merdeka No.56, Citarum, Bandung Wetan, Kota Bandung","Bandung Indah Plaza adalah pusat perbelanjaan di pusat Kota Bandung dengan pilihan fashion, kuliner, hiburan, dan kebutuhan gaya hidup.",0,1,0,0,114.15,198,320000,0,350000,50000,720000,melebihi budget,0
BDG-TRV-0147,Garut,1 hari,1,2,2260000,standar,mobil,tanpa penginapan,keluarga,foto-foto,Kampung Gajah Wonderland,wisata tematik,Kabupaten Bandung Barat,-6.8291,107.5933,"-6.8291,107.5933","Jl. Sersan Bajuri, Cihideung, Parongpong, Kabupaten Bandung Barat",Kampung Gajah Wonderland dikenal sebagai kawasan wisata tematik keluarga dengan berbagai wahana dan area rekreasi.,1,1,1,0,307.55,553,1845000,0,140000,130000,2115000,sesuai,0
BDG-TRV-0148,Bogor,3 hari 2 malam,3,5,987000,standar,transportasi umum,hemat,wisata alam,kuliner,Dusun Bambu,wisata alam,Kabupaten Bandung Barat,-6.789,107.5788,"-6.789,107.5788","Jl. Kolonel Masturi KM 11, Cisarua, Kabupaten Bandung Barat","Dusun Bambu adalah destinasi wisata alam dan kuliner keluarga dengan pemandangan pegunungan, taman, dan area rekreasi.",1,1,0,0,378.8,745,1364000,360000,1050000,150000,2924000,melebihi budget,0
BDG-TRV-0149,Bekasi,1 hari,1,2,4402000,premium,motor,tanpa penginapan,wisata edukasi,kuliner,Kawah Putih,wisata alam,Kabupaten Bandung,-7.1662,107.402,"-7.1662,107.402","Sugihmukti, Pasirjambu, Kabupaten Bandung",Kawah Putih adalah wisata alam di Ciwidey dengan danau kawah berwarna putih kehijauan dan panorama pegunungan.,0,0,1,0,227.65,401,637000,0,140000,60000,837000,sesuai,0
BDG-TRV-0150,Cimahi,2 hari 1 malam,2,2,1132000,standar,motor,nyaman,wisata kuliner,kuliner,Sudirman Street Bandung,wisata kuliner,Kota Bandung,-6.9177,107.5969,"-6.9177,107.5969","Jl. Jend. Sudirman, Karanganyar, Astanaanyar, Kota Bandung",Sudirman Street Bandung adalah kawasan kuliner malam yang menawarkan berbagai makanan lokal dan suasana street food kota.,1,1,0,1,143.49,309,402000,520000,280000,30000,1232000,melebihi budget,0
BDG-TRV-0151,Kabupaten Bandung,1 hari,1,5,2910000,premium,transportasi umum,tanpa penginapan,belanja,kuliner,Bandung Indah Plaza,mall,Kota Bandung,-6.9089,107.6105,"-6.9089,107.6105","Jl. Merdeka No.56, Citarum, Bandung Wetan, Kota Bandung","Bandung Indah Plaza adalah pusat perbelanjaan di pusat Kota Bandung dengan pilihan fashion, kuliner, hiburan, dan kebutuhan gaya hidup.",1,1,1,1,49.29,78,177000,0,350000,50000,577000,sesuai,1
BDG-TRV-0152,Tasikmalaya,3 hari 2 malam,3,4,4842000,premium,mobil,standar,wisata tematik,edukasi,Museum Geologi Bandung,museum,Kota Bandung,-6.9007,107.6215,"-6.9007,107.6215","Jl. Diponegoro No.57, Cihaur Geulis, Cibeunying Kaler, Kota Bandung","Museum Geologi Bandung adalah destinasi edukasi yang menampilkan koleksi batuan, mineral, fosil, dan informasi sejarah bumi.",0,1,1,1,133.36,207,800000,640000,840000,60000,2340000,sesuai,0
BDG-TRV-0153,Cimahi,1 hari,1,5,3243000,premium,mobil,tanpa penginapan,kuliner,santai,Sudirman Street Bandung,wisata kuliner,Kota Bandung,-6.9177,107.5969,"-6.9177,107.5969","Jl. Jend. Sudirman, Karanganyar, Astanaanyar, Kota Bandung",Sudirman Street Bandung adalah kawasan kuliner malam yang menawarkan berbagai makanan lokal dan suasana street food kota.,1,1,1,0,175.24,376,1051000,0,350000,75000,1476000,sesuai,0
BDG-TRV-0154,Garut,3 hari 2 malam,3,5,3045000,standar,motor,nyaman,wisata kota,foto-foto,Jalan Braga,wisata kota,Kota Bandung,-6.9175,107.6098,"-6.9175,107.6098","Jl. Braga, Braga, Sumur Bandung, Kota Bandung","Jalan Braga adalah kawasan wisata kota dengan nuansa klasik, bangunan bersejarah, kafe, kuliner, dan spot foto yang populer di Bandung.",1,1,1,1,98.25,200,275000,1040000,1050000,25000,2390000,sesuai,1
BDG-TRV-0155,Garut,1 hari,1,4,528000,hemat,mobil,tanpa penginapan,alam,belanja,Orchid Forest Cikole,wisata alam,Kabupaten Bandung Barat,-6.7806,107.6373,"-6.7806,107.6373","Cikole, Lembang, Kabupaten Bandung Barat","Orchid Forest Cikole adalah wisata alam hutan pinus dengan koleksi anggrek, spot foto, dan suasana sejuk di Lembang.",1,0,0,0,94.18,196,565000,0,280000,120000,965000,melebihi budget,0
BDG-TRV-0156,Jakarta,1 hari,1,1,2846000,premium,mobil,tanpa penginapan,kuliner,foto-foto,Floating Market Lembang,wisata kuliner,Kabupaten Bandung Barat,-6.8167,107.6187,"-6.8167,107.6187","Jl. Grand Hotel No.33E, Lembang, Kabupaten Bandung Barat","Floating Market Lembang menawarkan pengalaman kuliner, wahana keluarga, taman, dan suasana danau di kawasan Lembang.",1,1,1,1,224.91,475,1349000,0,70000,15000,1434000,sesuai,1
BDG-TRV-0157,Depok,2 hari 1 malam,2,2,4165000,premium,motor,hemat,gunung,alam,Tangkuban Perahu,gunung,Kabupaten Bandung Barat,-6.7596,107.6098,"-6.7596,107.6098","Cikahuripan, Lembang, Kabupaten Bandung Barat",Tangkuban Perahu adalah kawasan wisata gunung berapi dengan kawah alam yang populer untuk wisata alam dan edukasi geologi.,1,1,1,1,194.52,407,545000,180000,280000,70000,1075000,sesuai,1
BDG-TRV-0158,Jakarta,1 hari,1,2,1532000,standar,motor,tanpa penginapan,wisata edukasi,kuliner,Gedung Sate,wisata edukasi,Kota Bandung,-6.9025,107.6188,"-6.9025,107.6188","Jl. Diponegoro No.22, Citarum, Bandung Wetan, Kota Bandung",Gedung Sate adalah ikon Kota Bandung yang dikenal sebagai bangunan bersejarah dengan arsitektur khas dan nilai edukasi sejarah pemerintahan Jawa Barat.,1,0,1,0,209.21,349,586000,0,140000,50000,776000,sesuai,0
BDG-TRV-0159,Bekasi,2 hari 1 malam,2,2,704000,hemat,transportasi umum,hemat,gunung,budaya,Tangkuban Perahu,gunung,Kabupaten Bandung Barat,-6.7596,107.6098,"-6.7596,107.6098","Cikahuripan, Lembang, Kabupaten Bandung Barat",Tangkuban Perahu adalah kawasan wisata gunung berapi dengan kawah alam yang populer untuk wisata alam dan edukasi geologi.,1,0,0,1,177.61,362,639000,180000,280000,70000,1169000,melebihi budget,0
BDG-TRV-0160,Jakarta,1 hari,1,2,3853000,premium,motor,tanpa penginapan,wisata religi,foto-foto,Masjid Raya Bandung,wisata religi,Kota Bandung,-6.9216,107.6068,"-6.9216,107.6068","Jl. Dalem Kaum, Balonggede, Regol, Kota Bandung",Masjid Raya Bandung merupakan destinasi wisata religi di kawasan Alun-Alun Bandung dengan arsitektur megah dan suasana pusat kota yang ramai.,1,1,1,0,293.8,485,823000,0,140000,0,963000,sesuai,0
BDG-TRV-0161,Garut,2 hari 1 malam,2,1,1872000,standar,transportasi umum,nyaman,alam,alam,Tangkuban Perahu,gunung,Kabupaten Bandung Barat,-6.7596,107.6098,"-6.7596,107.6098","Cikahuripan, Lembang, Kabupaten Bandung Barat",Tangkuban Perahu adalah kawasan wisata gunung berapi dengan kawah alam yang populer untuk wisata alam dan edukasi geologi.,1,1,1,1,136.67,245,492000,520000,140000,35000,1187000,sesuai,1
BDG-TRV-0162,Tasikmalaya,2 hari 1 malam,2,5,2284000,standar,motor,standar,cafe view,kuliner,Cafe D'Pakar Bandung,cafe view,Kota Bandung,-6.8398,107.6537,"-6.8398,107.6537","Dago Pakar, Ciburial, Cimenyan, Bandung","Cafe D'Pakar Bandung adalah tempat wisata kuliner dengan suasana alam sejuk, area outdoor, dan pemandangan pepohonan di kawasan Dago Pakar.",1,1,1,1,122.42,250,343000,320000,700000,100000,1463000,sesuai,1
BDG-TRV-0163,Tasikmalaya,2 hari 1 malam,2,5,1966000,standar,motor,hemat,museum,keluarga,Cihampelas Walk,mall,Kota Bandung,-6.894,107.6042,"-6.894,107.6042","Jl. Cihampelas No.160, Cipaganti, Coblong, Kota Bandung",Cihampelas Walk adalah pusat belanja dan kuliner dengan konsep ruang terbuka yang cocok untuk jalan santai dan hiburan keluarga.,0,0,1,1,158.16,314,443000,180000,700000,50000,1373000,sesuai,0
BDG-TRV-0164,Cimahi,1 hari,1,2,1482000,standar,transportasi umum,tanpa penginapan,museum,sejarah,Martabak San Francisco Bandung,wisata kuliner,Kota Bandung,-6.9026,107.6092,"-6.9026,107.6092","Jl. Burangrang, Lengkong, Kota Bandung",Martabak San Francisco Bandung adalah destinasi kuliner legendaris yang dikenal dengan pilihan martabak manis dan martabak telur.,0,0,1,1,20.22,42,73000,0,140000,30000,243000,sesuai,0
BDG-TRV-0165,Bekasi,2 hari 1 malam,2,1,3371000,premium,transportasi umum,hemat,kuliner,alam,Sudirman Street Bandung,wisata kuliner,Kota Bandung,-6.9177,107.5969,"-6.9177,107.5969","Jl. Jend. Sudirman, Karanganyar, Astanaanyar, Kota Bandung",Sudirman Street Bandung adalah kawasan kuliner malam yang menawarkan berbagai makanan lokal dan suasana street food kota.,1,0,1,1,188.15,291,677000,180000,140000,15000,1012000,sesuai,0
BDG-TRV-0166,Kabupaten Bandung,1 hari,1,2,1267000,standar,transportasi umum,tanpa penginapan,alam,healing,Kawah Putih,wisata alam,Kabupaten Bandung,-7.1662,107.402,"-7.1662,107.402","Sugihmukti, Pasirjambu, Kabupaten Bandung",Kawah Putih adalah wisata alam di Ciwidey dengan danau kawah berwarna putih kehijauan dan panorama pegunungan.,1,1,1,1,73.29,143,264000,0,140000,60000,464000,sesuai,1
BDG-TRV-0167,Kabupaten Bandung,3 hari 2 malam,3,2,2092000,standar,mobil,standar,mall,santai,Paskal 23 Bandung,mall,Kota Bandung,-6.9147,107.5918,"-6.9147,107.5918","Jl. Pasir Kaliki No.25-27, Kebon Jeruk, Andir, Kota Bandung",Paskal 23 Bandung adalah pusat perbelanjaan dan kuliner modern yang dekat dengan kawasan stasiun dan pusat kota.,1,1,1,1,47.11,96,283000,640000,420000,20000,1363000,sesuai,1
BDG-TRV-0168,Kota Bandung,2 hari 1 malam,2,2,2336000,standar,mobil,nyaman,museum,keluarga,The Lodge Maribaya,wisata alam,Kabupaten Bandung Barat,-6.8294,107.6875,"-6.8294,107.6875","Cibodas, Lembang, Kabupaten Bandung Barat","The Lodge Maribaya adalah destinasi alam dengan wahana foto, pemandangan hutan pinus, dan aktivitas rekreasi keluarga.",0,1,1,1,67.5,134,405000,520000,280000,60000,1265000,sesuai,0
BDG-TRV-0169,Kabupaten Bandung,3 hari 2 malam,3,5,2377000,standar,transportasi umum,standar,belanja,keluarga,Trans Studio Mall Bandung,mall,Kota Bandung,-6.9254,107.6358,"-6.9254,107.6358","Jl. Gatot Subroto No.289, Cibangkong, Batununggal, Kota Bandung",Trans Studio Mall Bandung adalah pusat perbelanjaan dan hiburan indoor yang terhubung dengan kawasan Trans Studio Bandung.,1,1,1,1,49.92,91,180000,640000,1050000,50000,1920000,sesuai,1
BDG-TRV-0170,Bogor,2 hari 1 malam,2,1,4523000,premium,motor,hemat,wisata kuliner,keluarga,Martabak San Francisco Bandung,wisata kuliner,Kota Bandung,-6.9026,107.6092,"-6.9026,107.6092","Jl. Burangrang, Lengkong, Kota Bandung",Martabak San Francisco Bandung adalah destinasi kuliner legendaris yang dikenal dengan pilihan martabak manis dan martabak telur.,1,1,1,1,231.46,438,648000,180000,140000,15000,983000,sesuai,1
BDG-TRV-0171,Bekasi,2 hari 1 malam,2,5,575000,hemat,motor,hemat,alam,foto-foto,Tangkuban Perahu,gunung,Kabupaten Bandung Barat,-6.7596,107.6098,"-6.7596,107.6098","Cikahuripan, Lembang, Kabupaten Bandung Barat",Tangkuban Perahu adalah kawasan wisata gunung berapi dengan kawah alam yang populer untuk wisata alam dan edukasi geologi.,1,1,0,0,323.09,551,905000,180000,700000,175000,1960000,melebihi budget,0
BDG-TRV-0172,Jakarta,3 hari 2 malam,3,3,548000,hemat,motor,standar,alam,edukasi,Tebing Keraton,wisata alam,Kabupaten Bandung Barat,-6.8341,107.6635,"-6.8341,107.6635","Ciburial, Cimenyan, Kabupaten Bandung Barat",Tebing Keraton adalah destinasi wisata alam dengan pemandangan hutan dan perbukitan yang cocok untuk foto dan menikmati udara sejuk.,1,0,0,0,240.96,464,675000,640000,630000,90000,2035000,melebihi budget,0
BDG-TRV-0173,Bogor,1 hari,1,2,2187000,hemat,mobil,tanpa penginapan,edukasi,budaya,Saung Angklung Udjo,wisata edukasi,Kota Bandung,-6.8992,107.6542,"-6.8992,107.6542","Jl. Padasuka No.118, Pasirlayung, Cibeunying Kidul, Kota Bandung","Saung Angklung Udjo adalah destinasi budaya dan edukasi yang menampilkan pertunjukan angklung, seni Sunda, dan aktivitas keluarga.",1,1,1,1,191.3,432,1148000,0,140000,50000,1338000,sesuai,1
BDG-TRV-0174,Tasikmalaya,3 hari 2 malam,3,1,1577000,standar,mobil,standar,wisata alam,kuliner,Kawah Putih,wisata alam,Kabupaten Bandung,-7.1662,107.402,"-7.1662,107.402","Sugihmukti, Pasirjambu, Kabupaten Bandung",Kawah Putih adalah wisata alam di Ciwidey dengan danau kawah berwarna putih kehijauan dan panorama pegunungan.,1,0,0,1,199.7,353,1198000,640000,210000,30000,2078000,melebihi budget,0
BDG-TRV-0175,Kabupaten Bandung,3 hari 2 malam,3,5,683000,hemat,motor,hemat,wisata kota,religi,Orchid Forest Cikole,wisata alam,Kabupaten Bandung Barat,-6.7806,107.6373,"-6.7806,107.6373","Cikole, Lembang, Kabupaten Bandung Barat","Orchid Forest Cikole adalah wisata alam hutan pinus dengan koleksi anggrek, spot foto, dan suasana sejuk di Lembang.",0,0,0,1,74.89,123,210000,360000,1050000,150000,1770000,melebihi budget,0
BDG-TRV-0176,Cimahi,1 hari,1,3,1581000,hemat,mobil,tanpa penginapan,wisata kuliner,keluarga,Floating Market Lembang,wisata kuliner,Kabupaten Bandung Barat,-6.8167,107.6187,"-6.8167,107.6187","Jl. Grand Hotel No.33E, Lembang, Kabupaten Bandung Barat","Floating Market Lembang menawarkan pengalaman kuliner, wahana keluarga, taman, dan suasana danau di kawasan Lembang.",1,1,1,1,74.91,127,449000,0,210000,45000,704000,sesuai,1
BDG-TRV-0177,Garut,3 hari 2 malam,3,3,1688000,standar,transportasi umum,hemat,wisata alam,keluarga,Ranca Upas,wisata alam,Kabupaten Bandung,-7.1421,107.3957,"-7.1421,107.3957","Jl. Raya Ciwidey-Patengan, Rancabali, Kabupaten Bandung",Ranca Upas adalah kawasan wisata alam dan bumi perkemahan yang dikenal dengan penangkaran rusa dan udara sejuk pegunungan.,1,1,1,1,149.35,313,538000,360000,630000,90000,1618000,sesuai,1
BDG-TRV-0178,Depok,3 hari 2 malam,3,2,454000,hemat,transportasi umum,nyaman,foto-foto,santai,Jalan Braga,wisata kota,Kota Bandung,-6.9175,107.6098,"-6.9175,107.6098","Jl. Braga, Braga, Sumur Bandung, Kota Bandung","Jalan Braga adalah kawasan wisata kota dengan nuansa klasik, bangunan bersejarah, kafe, kuliner, dan spot foto yang populer di Bandung.",1,1,0,0,372.96,799,1343000,1040000,420000,10000,2813000,melebihi budget,0
BDG-TRV-0179,Depok,2 hari 1 malam,2,1,2015000,hemat,mobil,hemat,kuliner,santai,Sudirman Street Bandung,wisata kuliner,Kota Bandung,-6.9177,107.5969,"-6.9177,107.5969","Jl. Jend. Sudirman, Karanganyar, Astanaanyar, Kota Bandung",Sudirman Street Bandung adalah kawasan kuliner malam yang menawarkan berbagai makanan lokal dan suasana street food kota.,1,1,1,1,150.58,337,903000,180000,140000,15000,1238000,sesuai,1
BDG-TRV-0180,Bekasi,2 hari 1 malam,2,3,3394000,premium,motor,nyaman,wisata kuliner,keluarga,Floating Market Lembang,wisata kuliner,Kabupaten Bandung Barat,-6.8167,107.6187,"-6.8167,107.6187","Jl. Grand Hotel No.33E, Lembang, Kabupaten Bandung Barat","Floating Market Lembang menawarkan pengalaman kuliner, wahana keluarga, taman, dan suasana danau di kawasan Lembang.",1,1,1,1,187.85,283,526000,520000,420000,45000,1511000,sesuai,1
BDG-TRV-0181,Kota Bandung,2 hari 1 malam,2,2,2335000,standar,transportasi umum,nyaman,wisata kuliner,kuliner,Martabak San Francisco Bandung,wisata kuliner,Kota Bandung,-6.9026,107.6092,"-6.9026,107.6092","Jl. Burangrang, Lengkong, Kota Bandung",Martabak San Francisco Bandung adalah destinasi kuliner legendaris yang dikenal dengan pilihan martabak manis dan martabak telur.,1,1,1,1,6.06,12,22000,520000,280000,30000,852000,sesuai,1
BDG-TRV-0182,Kabupaten Bandung,3 hari 2 malam,3,2,1292000,hemat,mobil,hemat,cafe view,foto-foto,Cafe D'Pakar Bandung,cafe view,Kota Bandung,-6.8398,107.6537,"-6.8398,107.6537","Dago Pakar, Ciburial, Cimenyan, Bandung","Cafe D'Pakar Bandung adalah tempat wisata kuliner dengan suasana alam sejuk, area outdoor, dan pemandangan pepohonan di kawasan Dago Pakar.",1,1,1,1,53.5,94,321000,360000,420000,40000,1141000,sesuai,1
BDG-TRV-0183,Bogor,1 hari,1,3,1846000,hemat,transportasi umum,tanpa penginapan,wisata kuliner,foto-foto,Sudirman Street Bandung,wisata kuliner,Kota Bandung,-6.9177,107.5969,"-6.9177,107.5969","Jl. Jend. Sudirman, Karanganyar, Astanaanyar, Kota Bandung",Sudirman Street Bandung adalah kawasan kuliner malam yang menawarkan berbagai makanan lokal dan suasana street food kota.,1,1,1,1,193.22,325,696000,0,210000,45000,951000,sesuai,1
BDG-TRV-0184,Garut,3 hari 2 malam,3,4,933000,hemat,transportasi umum,hemat,cafe view,santai,Cafe D'Pakar Bandung,cafe view,Kota Bandung,-6.8398,107.6537,"-6.8398,107.6537","Dago Pakar, Ciburial, Cimenyan, Bandung","Cafe D'Pakar Bandung adalah tempat wisata kuliner dengan suasana alam sejuk, area outdoor, dan pemandangan pepohonan di kawasan Dago Pakar.",1,1,0,1,186.03,316,670000,360000,840000,80000,1950000,melebihi budget,0
BDG-TRV-0185,Depok,2 hari 1 malam,2,5,1388000,premium,motor,hemat,wisata alam,foto-foto,Kawah Putih,wisata alam,Kabupaten Bandung,-7.1662,107.402,"-7.1662,107.402","Sugihmukti, Pasirjambu, Kabupaten Bandung",Kawah Putih adalah wisata alam di Ciwidey dengan danau kawah berwarna putih kehijauan dan panorama pegunungan.,1,1,0,0,264.59,553,741000,180000,700000,150000,1771000,melebihi budget,0
BDG-TRV-0186,Garut,3 hari 2 malam,3,1,2276000,standar,transportasi umum,nyaman,wisata kota,foto-foto,Floating Market Lembang,wisata kuliner,Kabupaten Bandung Barat,-6.8167,107.6187,"-6.8167,107.6187","Jl. Grand Hotel No.33E, Lembang, Kabupaten Bandung Barat","Floating Market Lembang menawarkan pengalaman kuliner, wahana keluarga, taman, dan suasana danau di kawasan Lembang.",0,1,1,1,98.83,193,356000,1040000,210000,15000,1621000,sesuai,0
